source_country,canonical_country,canonical_region
Afghanistan,Afghanistan,South Asia
Africa Region,Regional — Africa,Sub-Saharan Africa
Africa Regional,Regional — Africa,Sub-Saharan Africa
Albania,Albania,Europe & Central Asia
Algeria,Algeria,Middle East & North Africa
Angola,Angola,Sub-Saharan Africa
Antigua And Barbuda,Antigua and Barbuda,Latin America & Caribbean
Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean
Argentina,Argentina,Latin America & Caribbean
Armenia,Armenia,Europe & Central Asia
Asia Regional,Regional — Asia,Global / Multi-Region
Azerbaijan,Azerbaijan,Europe & Central Asia
Bahamas,The Bahamas,Latin America & Caribbean
Bahrain,Bahrain,Middle East & North Africa
Bangladesh,Bangladesh,South Asia
Barbados,Barbados,Latin America & Caribbean
Belarus,Belarus,Europe & Central Asia
Belize,Belize,Latin America & Caribbean
Benin,Benin,Sub-Saharan Africa
Bhutan,Bhutan,South Asia
Bolivia,Bolivia,Latin America & Caribbean
Bosnia And Herzegovina,Bosnia and Herzegovina,Europe & Central Asia
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe & Central Asia
Botswana,Botswana,Sub-Saharan Africa
Brasil,Brazil,Latin America & Caribbean
Brazil,Brazil,Latin America & Caribbean
Bulgaria,Bulgaria,Europe & Central Asia
Burkina Faso,Burkina Faso,Sub-Saharan Africa
Burma,Myanmar,East Asia & Pacific
Burundi,Burundi,Sub-Saharan Africa
Cabo Verde,Cabo Verde,Sub-Saharan Africa
Cape Verde,Cabo Verde,Sub-Saharan Africa
Cambodia,Cambodia,East Asia & Pacific
Cameroon,Cameroon,Sub-Saharan Africa
Caribbean Subregion,Regional — Latin America & Caribbean,Latin America & Caribbean
"Cen Afr, and Anglophne W Africa Region",Regional — Africa,Sub-Saharan Africa
Central African Republic,Central African Republic,Sub-Saharan Africa
Central America Subregion,Regional — Latin America & Caribbean,Latin America & Caribbean
Central Asia and Turkiye Region,Regional — Europe & Central Asia,Europe & Central Asia
Central Europe Subregion,Regional — Europe & Central Asia,Europe & Central Asia
Chad,Chad,Sub-Saharan Africa
Chile,Chile,Latin America & Caribbean
China,China,East Asia & Pacific
"China, People's Republic of",China,East Asia & Pacific
Colombia,Colombia,Latin America & Caribbean
Comoros,Comoros,Sub-Saharan Africa
Congo,Republic of Congo,Sub-Saharan Africa
"Congo, Democratic Republic of",DR Congo,Sub-Saharan Africa
Democratic Republic of Congo,DR Congo,Sub-Saharan Africa
"Congo, Republic of",Republic of Congo,Sub-Saharan Africa
Costa Rica,Costa Rica,Latin America & Caribbean
Cote D'Ivoire,Côte d'Ivoire,Sub-Saharan Africa
Côte d'Ivoire,Côte d'Ivoire,Sub-Saharan Africa
Country Name Pending,Undisclosed,Undisclosed
Croatia,Croatia,Europe & Central Asia
Cyprus,Cyprus,Europe & Central Asia
Czechia,Czechia,Europe & Central Asia
Democratic Republic Of Congo,DR Congo,Sub-Saharan Africa
Djibouti,Djibouti,Middle East & North Africa
Dominican Republic,Dominican Republic,Latin America & Caribbean
East Asia and Pacific Region,Regional — East Asia & Pacific,East Asia & Pacific
Eastern Africa Region,Regional — Africa,Sub-Saharan Africa
Eastern Europe Subregion,Regional — Europe & Central Asia,Europe & Central Asia
Ecuador,Ecuador,Latin America & Caribbean
Egypt,Egypt,Middle East & North Africa
"Egypt, Arab Republic of",Egypt,Middle East & North Africa
El Salvador,El Salvador,Latin America & Caribbean
Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa
Eritrea,Eritrea,Sub-Saharan Africa
Estonia,Estonia,Europe & Central Asia
Eswatini,Eswatini,Sub-Saharan Africa
Ethiopia,Ethiopia,Sub-Saharan Africa
Europe Region,Regional — Europe & Central Asia,Europe & Central Asia
Europe Regional,Regional — Europe & Central Asia,Europe & Central Asia
Federal Republic of Somalia,Somalia,Sub-Saharan Africa
Fiji,Fiji,East Asia & Pacific
France,France,Western Europe
Gabon,Gabon,Sub-Saharan Africa
Gambia,The Gambia,Sub-Saharan Africa
"Gambia, The",The Gambia,Sub-Saharan Africa
Georgia,Georgia,Europe & Central Asia
Ghana,Ghana,Sub-Saharan Africa
Greece,Greece,Europe & Central Asia
Grenada,Grenada,Latin America & Caribbean
Guatemala,Guatemala,Latin America & Caribbean
Guinea,Guinea,Sub-Saharan Africa
Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa
Guyana,Guyana,Latin America & Caribbean
Haiti,Haiti,Latin America & Caribbean
Honduras,Honduras,Latin America & Caribbean
"Hong Kong SAR, China",Hong Kong SAR,East Asia & Pacific
Hungary,Hungary,Europe & Central Asia
India,India,South Asia
Indonesia,Indonesia,East Asia & Pacific
"Iran, Islamic Republic of",Iran,Middle East & North Africa
Iraq,Iraq,Middle East & North Africa
Ireland,Ireland,Western Europe
Israel,Israel,Middle East & North Africa
Jamaica,Jamaica,Latin America & Caribbean
Jordan,Jordan,Middle East & North Africa
Kazakhstan,Kazakhstan,Europe & Central Asia
Kenya,Kenya,Sub-Saharan Africa
"Korea, Republic of",South Korea,East Asia & Pacific
Kosovo,Kosovo,Europe & Central Asia
Kuwait,Kuwait,Middle East & North Africa
Kyrgyz Republic,Kyrgyzstan,Europe & Central Asia
Kyrgyzstan,Kyrgyzstan,Europe & Central Asia
Lao People's Democratic Republic,Laos,East Asia & Pacific
Laos,Laos,East Asia & Pacific
Latin America Regional,Regional — Latin America & Caribbean,Latin America & Caribbean
Latin America and the Caribbean Region,Regional — Latin America & Caribbean,Latin America & Caribbean
Latvia,Latvia,Europe & Central Asia
Lebanon,Lebanon,Middle East & North Africa
Lesotho,Lesotho,Sub-Saharan Africa
Liberia,Liberia,Sub-Saharan Africa
Libya,Libya,Middle East & North Africa
