currency,year,usd_per_unit,source
EUR,1999,1.065776,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2000,0.923613,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2001,0.89563,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2002,0.945574,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2003,1.13116,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2004,1.243902,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2005,1.24409,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2006,1.255599,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2007,1.370478,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2008,1.470755,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2009,1.394782,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2010,1.325717,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2011,1.391955,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2012,1.284789,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2013,1.328118,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2014,1.328501,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2015,1.109513,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2016,1.106903,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2017,1.129681,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2018,1.180955,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2019,1.119475,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2020,1.142196,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2021,1.18274,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2022,1.053049,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2023,1.081269,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2024,1.08238,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2025,1.129983,"ECB reference rates via frankfurter.app, annual average of daily rates"
EUR,2026,1.164943,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,1999,1.617755,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2000,1.515056,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2001,1.43997,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2002,1.502851,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2003,1.634335,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2004,1.832625,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2005,1.819116,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2006,1.842349,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2007,2.002113,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2008,1.85383,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2009,1.566843,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2010,1.545197,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2011,1.603552,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2012,1.584468,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2013,1.564304,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2014,1.647662,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2015,1.528784,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2016,1.355036,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2017,1.288162,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2018,1.33515,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2019,1.276063,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2020,1.283894,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2021,1.375868,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2022,1.236039,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2023,1.243376,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2024,1.278592,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2025,1.318424,"ECB reference rates via frankfurter.app, annual average of daily rates"
GBP,2026,1.344577,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,1999,0.104727,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2000,0.105757,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2001,0.107127,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2002,0.103652,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2003,0.092728,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2004,0.088619,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2005,0.091822,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2006,0.091771,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2007,0.09152,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2008,0.090593,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2009,0.074204,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2010,0.079219,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2011,0.080719,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2012,0.076039,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2013,0.078363,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2014,0.075246,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2015,0.063122,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2016,0.053647,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2017,0.053035,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2018,0.052038,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2019,0.051938,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2020,0.046855,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2021,0.049317,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2022,0.049738,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2023,0.056435,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2024,0.054873,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2025,0.052155,"ECB reference rates via frankfurter.app, annual average of daily rates"
MXN,2026,0.057252,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2000,0.547099,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2001,0.429547,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2002,0.353456,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2003,0.327229,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2004,0.342317,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2005,0.412745,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2006,0.459629,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2007,0.515509,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2008,0.55579,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2009,0.507537,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2010,0.568902,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2011,0.59919,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2012,0.513917,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2013,0.465257,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2014,0.426195,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2015,0.304532,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2016,0.28877,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2017,0.313574,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2018,0.275329,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2019,0.253961,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2020,0.195844,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2021,0.185645,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2022,0.19391,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2023,0.200318,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2024,0.186451,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2025,0.179162,"ECB reference rates via frankfurter.app, annual average of daily rates"
BRL,2026,0.194126,"ECB reference rates via frankfurter.app, annual average of daily rates"
