institution,source_url,project_name,country,approval_date,amount_usd_m,YOUR_INSTRUMENT,YOUR_INSTRUMENT_REASON,description_excerpt
IDB Invest,https://idbinvest.org/en/projects/sustainable-mobility-bond-mexico,Sustainable Mobility Bond in Mexico,Mexico,8/28/2025,1.5,Senior Debt,senior bond subscription,"The Project consists of the subscription of a senior thematic bond &nbsp;(Sustainable Bond) in local currency (MXN), issued by a new special purpose vehicle (“SPV”) to be incorporated in Mexico. The issuance will be backed by a portfolio of segregated loans under a private issuance modality &nbsp;(p"
IDB Invest,https://idbinvest.org/en/projects/bicycle-growth-fund-i,Bicycle Growth Fund I,Latin America Regional,5/27/2025,10,Equity,"LP investment, not private credit","IDB Invest is proposing an investment of US$10 million as a limited partner in Bicycle I, L.P. (the “Fund”), a Private Equity (“PE”) fund incorporated under the laws of Delaware. The Fund will target&nbsp;10-15 investments in growth-stage companies harnessing the power of data and technology to rede"
IDB Invest,https://idbinvest.org/en/projects/banco-sol-social-gender-bond-pcg,Banco Sol - Social Gender Bond (PCG),Bolivia,3/26/2024,15,Guarantee,guarantee,"The proposed transaction consists in a guarantee denominated in bolivianos (BOB) for up to US$15&nbsp;million to support an issuance in the Bolivian market of Social Gender Bonds in the amount of US$30 million by Banco Solidario, S.A. (“Banco Sol” or the “Bank”), to be financed by IDB Invest (the “P"
IDB Invest,https://idbinvest.org/en/projects/ecoenterprises-biodiversity-and-climate-fund,EcoEnterprises Biodiversity and Climate Fund,Latin America Regional,12/13/2023,5,Equity,equity in fund,"IDB Invest is considering an equity investment of up to US$10 million (inclusive of a US$5&nbsp;million Blended Finance equity participation with resources from funds managed by IDB Invest) in the EcoEnterprises Partners IV, LP (the “Fund”), an impact investing fund that will offer tailored growth c"
IDB Invest,https://idbinvest.org/en/projects/fedecredito-dpr-2023-women-entrepreneurs-empowerment-bond,Fedecredito (DPR 2023) - Women Entrepreneurs Empowerment Bond,El Salvador,12/5/2023,20,Senior Debt,credit issuance,The project consists of the issuance by Fedecredito (the “Sponsor”) of its first Social Bond with a Gender Lens under its Remittance Securitization Program (“RSP” or the “Program”). The total amount of the Bond is up to US$85 million with a seven-year term. IDB Invest’s subscription will be of up to
IDB Invest,https://idbinvest.org/en/projects/vinte-sustainable-bond-2023,Vinte - Sustainable Bond 2023,Mexico,11/30/2023,2.4,Senior Debt,buying a bond,The project consists of the participation of IDB Invest as an anchor investor for an amount of up to MXN$750 million in the issuance of a sustainable bond by Vinte Propiedades Integrales S.A.B. of C.V. to finance working capital for the development of sustainable low-income housing in Mexico.
IDB Invest,https://idbinvest.org/en/projects/responsability-sustainable-food-latam-i,responsAbility Sustainable Food - Latam I,Latin America Regional,11/14/2023,15,Equity,equity in fund,"IDB Invest is considering an investment of up to US$15 million in responsAbility Sustainable Food – Latam (the “Fund”), marking the first cooperation with experienced impact manager responsAbility (“responsAbility"" or “the Fund Manager”). The Fund will make mezzanine investments in fruit &amp; veget"
IDB Invest,https://idbinvest.org/en/projects/nazca-continuity-fund-i,Nazca Continuity Fund I,Latin America Regional,7/28/2023,5,Equity,equity in fund,"The Project consists in an equity investment of up to USD 5 million in Nazca C-Fund I, LP (“Nazca LAC Digital Growth Fund” or the “Fund”), a new regional venture capital growth fund aimed at investing in the most notable high-performing digital-based companies of Nazca Fund I and Fund II to support "
IDB Invest,https://idbinvest.org/en/projects/sura-corporate-private-debt-fund,SURA Corporate Private Debt Fund,Colombia,5/16/2023,0,,LP investment in private credit,"The transaction consists of an investment of up to US$25 million in COP in FCP SURA Corporate Private Debt - Corporate Private Debt Compartment ( ), which consists of a private credit fund that will provide financing to Small and Medium-sized Enterprises (""SMEs"") and Middle Market Enterprises (""MMEs"
IDB Invest,https://idbinvest.org/en/projects/lac-gender-diversity-inclusion-fund,LAC Gender Diversity & Inclusion Fund,Latin America Regional,5/16/2023,40,Equity,equity in fund,"The Project consists of an investment in the BlueOrchard Latin America and the Caribbean Gender, Diversity, and Inclusion Fund S.C.A., SICAV-RAIF (the “Fund”), the first private debt Gender, Diversity &amp; Inclusion (“GDI”) fund in Latin America and the Caribbean (“LAC”). The Fund will focus on inc"
