entity,iso3,name,indicator,year,value,income_group
HIC,HIC,HIC,NY.GDP.MKTP.KD,2015,50179969310921.3,
HIC,HIC,HIC,NY.GDP.MKTP.KD,2016,51103109667903.8,
HIC,HIC,HIC,NY.GDP.MKTP.KD,2017,52376587030216.3,
HIC,HIC,HIC,NY.GDP.MKTP.KD,2018,53636000398827.8,
HIC,HIC,HIC,NY.GDP.MKTP.KD,2019,54655276372914.6,
HIC,HIC,HIC,NY.GDP.MKTP.KD,2020,52542203024740.1,
HIC,HIC,HIC,NY.GDP.MKTP.KD,2021,55679557508204.9,
HIC,HIC,HIC,NY.GDP.MKTP.KD,2022,57408886999170.5,
HIC,HIC,HIC,NY.GDP.MKTP.KD,2023,58439575053271.9,
HIC,HIC,HIC,NY.GDP.MKTP.KD,2024,59590533300228.3,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2015,50459162152163.3,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2016,51355954168304.7,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2017,54037288143069.9,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2018,57449870608804.1,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2019,58060866286532.4,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2020,56459212616119,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2021,63670629902262,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2022,65919547367217.6,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2023,68905434003872.8,
HIC,HIC,HIC,NY.GNP.MKTP.CD,2024,71886816390362,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2015,25659752659960.1,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2016,25917599955464.9,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2017,28319199325293,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2018,30124203119691.2,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2019,31024374981412.2,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2020,30018039872473.6,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2021,35394243111591.4,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2022,37082867531465.4,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2023,38155314219988,
LMY,LMY,LMY,NY.GDP.MKTP.CD,2024,39490940514619.9,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2015,25659752659960.1,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2016,26852489626630.5,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2017,28265968304994.9,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2018,29657119246587.4,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2019,30870483892680.9,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2020,30515266297309,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2021,32764345049399,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2022,34077552371296,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2023,35662881451694.7,
LMY,LMY,LMY,NY.GDP.MKTP.KD,2024,37240749587461.9,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2015,75839351828606.2,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2016,77084966373474,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2017,82110104984460,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2018,87310840056717.8,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2019,88796498078977.7,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2020,86388502867289.2,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2021,98780038374127,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2022,102862471365575,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2023,107348614073350,
WLD,WLD,WLD,NY.GDP.MKTP.CD,2024,111669432109121,
country,BRA,Brazil,NE.GDI.FTOT.CD,2015,321439091840.342,Upper middle income
country,BRA,Brazil,NE.GDI.FTOT.CD,2016,278769334001.277,Upper middle income
country,BRA,Brazil,NE.GDI.FTOT.CD,2017,300426867329.555,Upper middle income
country,BRA,Brazil,NE.GDI.FTOT.CD,2018,289397822829.501,Upper middle income
country,BRA,Brazil,NE.GDI.FTOT.CD,2019,289819598014.537,Upper middle income
country,BRA,Brazil,NE.GDI.FTOT.CD,2020,244458436865.141,Upper middle income
country,BRA,Brazil,NE.GDI.FTOT.CD,2021,299344079147.991,Upper middle income
country,BRA,Brazil,NE.GDI.FTOT.CD,2022,347450316094.013,Upper middle income
country,BRA,Brazil,NE.GDI.FTOT.CD,2023,359586088663.658,Upper middle income
country,BRA,Brazil,NE.GDI.FTOT.CD,2024,369608473956.357,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2015,1802212206814.5,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2016,1795693482853.01,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2017,2063514977365.65,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2018,1916933898010.99,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2019,1873288205059.69,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2020,1476107231310.49,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2021,1670647398904.9,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2022,1951923942083.32,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2023,2191131765684.63,Upper middle income
country,BRA,Brazil,NY.GDP.MKTP.CD,2024,2185821610689.31,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2015,4694699581163.45,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2016,4706201149285.17,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2017,5192867621329.67,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2018,5995876333537.23,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2019,6151721422590.08,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2020,6275911069015.95,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2021,7526788365592.98,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2022,7552539216090.82,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2023,7391169506259.04,Upper middle income
country,CHN,China,NE.GDI.FTOT.CD,2024,7426675490111.76,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2015,11280814787468.9,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2016,11456024084962,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2017,12537559062282.9,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2018,14147765772963.8,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2019,14560167101283.4,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2020,14996414166715.1,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2021,18201698719564,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2022,18316765021690.2,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2023,18270356654533.2,Upper middle income
country,CHN,China,NY.GDP.MKTP.CD,2024,18729668435848,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2015,68603201437.9211,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2016,62564990483.6094,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2017,67746192353.0109,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2018,70943166882.8459,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2019,68705959026.0682,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2020,49641567077.6139,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2021,60486974112.4444,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2022,65913816191.7414,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2023,60260219997.6653,Upper middle income
country,COL,Colombia,NE.GDI.FTOT.CD,2024,68190818310.5024,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2015,293492370193.166,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2016,282720100286.228,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2017,311866875156.879,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2018,334198218098.276,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2019,323031701192.84,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2020,270348342541.465,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2021,318524633225.395,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2022,345632492851.448,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2023,366901643683.302,Upper middle income
country,COL,Colombia,NY.GDP.MKTP.CD,2024,420504033143.211,Upper middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2015,44973045822.1024,Lower middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2016,48098159509.2025,Lower middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2017,40516304347.8261,Lower middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2018,48339898705.6837,Lower middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2019,59823462414.5786,Lower middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2020,65090455396.1322,Lower middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2021,69158699808.7954,Lower middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2022,86024316109.4225,Lower middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2023,59910943339.8501,Lower middle income
country,EGY,Egypt,NE.GDI.FTOT.CD,2024,45512764884.4455,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2015,329366576819.407,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2016,332441717791.411,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2017,248362771739.13,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2018,262588632526.73,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2019,318678815489.749,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2020,383817841547.099,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2021,424671765455.704,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2022,476747720364.742,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2023,395926071447.591,Lower middle income
country,EGY,Egypt,NY.GDP.MKTP.CD,2024,389059910593.1,Lower middle income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2015,25258250741.6268,Low income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2016,25574890829.6943,Low income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2017,29358166666.6667,Low income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2018,28470689734.8485,Low income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2019,32384501728.7622,Low income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2020,30174351129.1664,Low income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2021,30567458851.5289,Low income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2022,31206495322.7904,Low income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2023,30122476599.7847,Low income
country,ETH,Ethiopia,NE.GDI.FTOT.CD,2024,30809773549.8615,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2015,62103418181.8182,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2016,68475871209.607,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2017,76366081766.6667,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2018,83337901071.9697,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2019,91834517113.6386,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2020,98676811061.9985,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2021,109070960370.972,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2022,123140304665.399,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2023,135874093203.18,Low income
country,ETH,Ethiopia,NY.GDP.MKTP.CD,2024,149740297952.375,Low income
country,GEO,Georgia,NE.GDI.FTOT.CD,2015,3641552617.45475,Upper middle income
country,GEO,Georgia,NE.GDI.FTOT.CD,2016,4015959691.13437,Upper middle income
country,GEO,Georgia,NE.GDI.FTOT.CD,2017,4140597766.44503,Upper middle income
country,GEO,Georgia,NE.GDI.FTOT.CD,2018,4438533793.64766,Upper middle income
country,GEO,Georgia,NE.GDI.FTOT.CD,2019,4226638691.82747,Upper middle income
country,GEO,Georgia,NE.GDI.FTOT.CD,2020,3559666044.9561,Upper middle income
country,GEO,Georgia,NE.GDI.FTOT.CD,2021,3913547145.20786,Upper middle income
country,GEO,Georgia,NE.GDI.FTOT.CD,2022,4934491667.23819,Upper middle income
country,GEO,Georgia,NE.GDI.FTOT.CD,2023,6604944681.32065,Upper middle income
country,GEO,Georgia,NE.GDI.FTOT.CD,2024,7288447624.23869,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2015,15223796148.8396,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2016,15444548901.9637,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2017,16473125375.0684,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2018,17902544880.6471,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2019,17638337116.9126,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2020,16010869215.68,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2021,18853115588.8106,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2022,24984568959.605,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2023,30777833600.6515,Upper middle income
country,GEO,Georgia,NY.GDP.MKTP.CD,2024,34189423333.141,Upper middle income
country,GRC,Greece,NE.GDI.FTOT.CD,2015,21715847852.675,High income
country,GRC,Greece,NE.GDI.FTOT.CD,2016,21952203262.0355,High income
country,GRC,Greece,NE.GDI.FTOT.CD,2017,24144487127.9495,High income
country,GRC,Greece,NE.GDI.FTOT.CD,2018,24169007568.3412,High income
country,GRC,Greece,NE.GDI.FTOT.CD,2019,22742389982.1255,High income
country,GRC,Greece,NE.GDI.FTOT.CD,2020,23537390555.7915,High income
country,GRC,Greece,NE.GDI.FTOT.CD,2021,30107470683.8367,High income
country,GRC,Greece,NE.GDI.FTOT.CD,2022,34270969836.0099,High income
country,GRC,Greece,NE.GDI.FTOT.CD,2023,38590171314.7046,High income
country,GRC,Greece,NE.GDI.FTOT.CD,2024,41099412975.8953,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2015,194567373678.099,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2016,193097239005.87,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2017,200381103984.298,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2018,213298873494.394,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2019,207305649887.019,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2020,191362985554.861,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2021,218303801895.326,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2022,217990189600.69,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2023,242946187738.269,High income
country,GRC,Greece,NY.GDP.MKTP.CD,2024,256238371778.118,High income
country,IND,India,NE.GDI.FTOT.CD,2015,604427075366.936,Lower middle income
country,IND,India,NE.GDI.FTOT.CD,2016,646867394694.409,Lower middle income
country,IND,India,NE.GDI.FTOT.CD,2017,747127475823.859,Lower middle income
country,IND,India,NE.GDI.FTOT.CD,2018,796366002399.328,Lower middle income
country,IND,India,NE.GDI.FTOT.CD,2019,806858839433.266,Lower middle income
country,IND,India,NE.GDI.FTOT.CD,2020,730885041606.85,Lower middle income
country,IND,India,NE.GDI.FTOT.CD,2021,936816398158.319,Lower middle income
country,IND,India,NE.GDI.FTOT.CD,2022,1051909283642,Lower middle income
country,IND,India,NE.GDI.FTOT.CD,2023,1116775131527.77,Lower middle income
country,IND,India,NE.GDI.FTOT.CD,2024,1190050811692.66,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2015,2103588360044.94,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2016,2294796885663.16,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2017,2651474262755.45,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2018,2702929641648.74,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2019,2835606256558.19,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2020,2674851578587.27,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2021,3167270623260.47,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2022,3249938492013.47,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2023,3500906030644.76,Lower middle income
country,IND,India,NY.GDP.MKTP.CD,2024,3760813470500.86,Lower middle income
country,KAZ,Kazakhstan,NE.GDI.FTOT.CD,2015,42190871475.1398,Upper middle income
country,KAZ,Kazakhstan,NE.GDI.FTOT.CD,2016,31188624327.7999,Upper middle income
